8497381,4165,5671,328148,3469,7052,1047,3004,1883861,25859,9495,18813,5186,3141,5976,5297,1434
4663,3155893,5349,788,1200,583,19555,182,2340,205,381,494,645,1117,10538,215802,239
3376,2611,2157030,462,146,1181,1653,84,1884,441,915,671,244,287,123490,7005,196
117660,1093,3509,2289129,985,2600,166,432,198178,2850,2298,5386,1869,1110,1731,1084,309
1599,279,82,220,1310193,390,69,84,1293,84,189,405,5716,67355,122,1094,221
4523,857,2528,1042,433,1349719,1021,28090,6709,1311,19243,28968,3612,473,2541,980,115
1101,42284,1689,219,52,248,1041487,22,735,667,39,195,43,49,19026,33562,289
4182,137,155,613,143,17346,25,299980,5644,165,20229,12109,204,184,149,69,16
952402,1436,2146,300183,1468,5161,413,1000,11166627,28220,10030,25890,2606,1460,3516,2512,628
20329,558,1286,2777,136,1429,4498,36,32685,1466004,10176,281,158,171,3981,299,70
10641,399,1136,3463,268,23994,181,9690,23714,10151,1508123,9685,1530,244,4753,1619,142
22255,594,1131,8492,1011,43073,281,11829,81825,531,8716,2002039,8957,1044,886,841,85
4267,1820,429,1785,5549,4660,659,311,6137,152,3290,12802,1754029,6091,345,5009,60
3700,3842,2789,1008,122450,1499,558,129,2528,80,255,1208,15967,1761352,1360,7693,646
4962,2847,219011,1258,223,2855,44275,127,5397,5475,5158,764,550,829,2447060,4957,97
3882,170400,12887,742,1236,1124,19384,697,2387,124,1110,621,2077,4531,13208,3050943,124
11542,2731,1518,2499,1100,968,745,134,5070,521,1190,698,711,2111,740,1450,669964